drawing_category,location,age,participant_id,distance_cat_site,recognized,target_similarity
airplane,Beijing,4,THU4F6,0.04248046875,False,0.278076171875
bird,Beijing,8,THU9M1,0.04833984375,False,0.26318359375
hat,Beijing,6,THU6F28,0.0244140625,True,0.313720703125
cup,Beijing,6,THU6F28,0.02490234375,False,0.273193359375
watch,Beijing,4,THU4M7,0.0517578125,True,0.26806640625
bird,Beijing,6,THU6M1,0.04052734375,True,0.280029296875
chair,Beijing,9,THU9M39,0.08154296875,True,0.32373046875
tree,Beijing,5,THU5M01,0.0458984375,True,0.308837890625
cup,Beijing,9,THU9M15,0.03564453125,True,0.284912109375
tree,Beijing,8,THU8F14,0.04345703125,True,0.304931640625
watch,Beijing,5,THU5F2,0.04248046875,True,0.2939453125
cat,Beijing,8,THU8M37,0.05810546875,True,0.318603515625
bird,Beijing,4,THU4M04,0.16064453125,False,0.24609375
tree,Beijing,7,THU8M16,0.0390625,False,0.2744140625
airplane,Beijing,9,THU9M3,0.0283203125,True,0.314697265625
cat,Beijing,8,THU8F34,0.04638671875,False,0.27392578125
rabbit,Beijing,7,THU7F40,0.04248046875,True,0.31201171875
chair,Beijing,8,THU8F12,0.04541015625,True,0.351806640625
car,Beijing,8,THU8M1,0.0478515625,True,0.33447265625
bird,Beijing,5,THU5F2,0.0712890625,False,0.2373046875
chair,Beijing,4,THU5M4,0.04736328125,False,0.281005859375
cup,Beijing,8,THU8F13,0.04931640625,True,0.33447265625
rabbit,Beijing,9,THU9F38,0.033203125,True,0.3115234375
bird,Beijing,8,THU8M21,0.06884765625,True,0.29052734375
chair,Beijing,6,THU6F20,0.05029296875,False,0.271240234375
house,Beijing,9,THU9F1,0.0625,True,0.3251953125
car,Beijing,8,THU9F22,0.06005859375,True,0.318603515625
bird,Beijing,8,THU9F22,0.04443359375,True,0.271484375
tree,Beijing,9,THU9F35,0.03271484375,False,0.287353515625
bike,Beijing,6,THU6M1,0.0849609375,False,0.2471923828125
tree,Beijing,6,THU6F19,0.046875,True,0.297119140625
bike,Beijing,4,THU4F8,0.02880859375,False,0.30029296875
cup,Beijing,9,THU9F18,0.0322265625,True,0.27685546875
bike,Beijing,5,THU5F2,0.09326171875,False,0.230712890625
cat,Beijing,9,THU9M11,0.0595703125,False,0.3115234375
car,Beijing,6,1THU6F30,0.08935546875,False,0.273681640625
house,Beijing,8,THU8F1,0.10205078125,False,0.2685546875
bird,Beijing,5,THU5M3,0.0390625,False,0.2724609375
rabbit,Beijing,4,THU5M4,0.0634765625,True,0.27978515625
cat,Beijing,4,THU4M7,0.13134765625,False,0.2291259765625
bird,Beijing,5,THU6M1,0.046875,True,0.2744140625
cup,Beijing,8,THU9F2,0.03857421875,False,0.296142578125
bike,Beijing,4,THU4M7,0.03173828125,False,0.279541015625
tree,Beijing,8,THU9M2,0.0546875,False,0.29443359375
house,Beijing,5,THU5F3,0.1025390625,False,0.249267578125
airplane,Beijing,8,THU9M1,0.05224609375,True,0.28076171875
house,Beijing,7,THU6F13,0.0546875,True,0.317626953125
bird,Beijing,4,THU4F6,0.09130859375,False,0.2607421875
cat,Beijing,8,THU8F34,0.04638671875,True,0.305908203125
rabbit,Beijing,7,THU7M12,0.05859375,False,0.281494140625
cat,Beijing,4,THU5F6,0.05029296875,False,0.28466796875
cat,Beijing,8,THU9M2,0.06884765625,True,0.306640625
hat,Beijing,4,THU4M7,0.05126953125,False,0.26416015625
car,Beijing,8,THU8M17,0.0791015625,True,0.322265625
house,Beijing,4,THU4F8,0.05908203125,True,0.272705078125
